,description,number_rates,rating,price,url
62,MaryRuth's L Theanine 200mg Liquid Drops | L-Theanine + Organic Glycerin | Stress Relief for Adults & Kids | Focus Supplement | Natural Sleep Support | Vegan | Non-GMO | Gluten Free | 30 Servings,55,4.6,24.95,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A0642201LOT1OKYZY97G&url=%2FMaryRuths-Theanine-L-Theanine-Glycerin-Supplement%2Fdp%2FB09YKGM7N5%2Fref%3Dsr_1_51_sspa%3Fkeywords%3Dmultivitamin%2Bfor%2Bkids%26qid%3D1660952871%26sr%3D8-51-spons%26psc%3D1%26smid%3DA3V1QNHQ2M2TBN&qualifier=1660952871&id=2274841925263096&widgetName=sp_atf_next
63,"Nordic Naturals Nordic Berries, Cherry Berry - 120 Gummy Berries - Great-Tasting Multivitamin for Ages 2+ - Growth, Development, Optimal Wellness - Non-GMO, Vegetarian - 30 Servings",486,4.5,21.56,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A0802359392329HAVWFR8&url=%2FNordic-Naturals-Berries-Multivitamin-Gummies%2Fdp%2FB01LTHMG3Q%2Fref%3Dsr_1_52_sspa%3Fkeywords%3Dmultivitamin%2Bfor%2Bkids%26qid%3D1660952871%26sr%3D8-52-spons%26psc%3D1&qualifier=1660952871&id=2274841925263096&widgetName=sp_atf_next
64,Kids Liquid Multivitamin | Delicious Sugar-Free Liquid Vitamins for Kids by Feel Great Vitamin Co. | 100% Daily Value of 14 Essential Vitamins (30 Day) | 95-98% Absorption for Optimal Immune Support,387,4.5,28.97,https://www.amazon.com/Multivitamin-Feel-Great-365-Supplement/dp/B081DB3GKP/ref=sr_1_53?keywords=multivitamin+for+kids&qid=1660952871&sr=8-53
65,"Nordic Naturals Nordic Berries, Cherry Berry - 120 Gummy Berries - Great-Tasting Multivitamin for Ages 2+ - Growth, Development, Optimal Wellness - Non-GMO, Vegetarian - 30 Servings",486,4.5,21.56,https://www.amazon.com/Nordic-Naturals-Berries-Multivitamin-Gummies/dp/B01LTHMG3Q/ref=sr_1_54?keywords=multivitamin+for+kids&qid=1660952871&sr=8-54
66,Kids Complete Daily Multivitamin Gummies Great for Immune Support and Overall Health - 12 Essential Minerals and Vitamins - Gluten Free GMO Free Gelatin Free Peanut Free - Chewable Fruity Gummy Chews,53,4.7,12.95,https://www.amazon.com/Complete-Multi-Vitamin-Gummy-Vitamins/dp/B09JD9N81Y/ref=sr_1_55?keywords=multivitamin+for+kids&qid=1660952871&sr=8-55
67,"Sundown Kids Disney and Pixar Toy Story 4 Multivitamin Gummies, Vitamins A, C, D, E, Gluten-Free, Dairy-Free, Peanut-Free, 180 Count","6,836",4.8,none,https://www.amazon.com/Multivitamin-Vitamins-Gluten-Free-Dairy-Free-Peanut-Free/dp/B07RWVQN2C/ref=sr_1_56?keywords=multivitamin+for+kids&qid=1660952871&sr=8-56
68,"MegaFood Kids One Daily Multivitamin Soft Chews - Chewable Multivitamin for Children with Vitamins C, D & More - Non-GMO, Gluten-Free, Vegetarian & Made without Dairy and Soy - 30 Chews - Grape",392,4.6,17.94,https://www.amazon.com/MegaFood-Multivitamin-Supplement-Development-Gluten-Free/dp/B07S43J9K3/ref=sr_1_57?keywords=multivitamin+for+kids&qid=1660952871&sr=8-57
69,"Flintstones Gummies Kids Vitamins with Immunity Support*, Kids and Toddler Multivitamin with Vitamin C, Vitamin D, B12, Zinc & more, Orange 150ct","3,068",4.8,13.92,https://www.amazon.com/Flintstones-Gummies-Immunity-Support-Count/dp/B002GU79G0/ref=sr_1_58?keywords=multivitamin+for+kids&qid=1660952871&rdc=1&sr=8-58
70,"Garden of Life Kids Daily Multivitamin Powder for Toddlers & Kids, Organic, Non-GMO & Gluten Free, 15 Essential Vitamins, Minerals for Healthy Growth, 2.11 Oz",605,3.7,14.94,https://www.amazon.com/Garden-Life-Multivitamin-Vitamins-Essential/dp/B07TKYYCVF/ref=sr_1_59?keywords=multivitamin+for+kids&qid=1660952871&sr=8-59
71,"Nature Made Kids First Multivitamin with Omega-3, Dietary Supplement for Nutritional Support, 70 Gummies","3,168",4.7,none,https://www.amazon.com/Nature-Made-Multivitamin-Omega-3-Gummies/dp/B010OUZ9QU/ref=sr_1_60?keywords=multivitamin+for+kids&qid=1660952871&sr=8-60
72,"NovaFerrum Delish | Vegan Multivitamin with Iron for Infants, Toddlers & Kids | Organic Plant-Based D-3 | Gluten-Free Certified | Vegan Verified | Sugar-Free | Raspberry Grape | 2 Fl Oz (50 mL)","8,348",4.6,22.50,https://www.amazon.com/NovaFerrum-Multivitamin-Infants-Toddlers-Plant-Based/dp/B07Y2DK9BG/ref=sr_1_61?keywords=multivitamin+for+kids&qid=1660952871&sr=8-61
73,"Vitamin Friends Iron Multivitamin for Kids - Vegan (60 Day Supply) Ferrous Fumarate with B-Complex, Vitamin C, Zinc, Biotin - Iron Gummies Support Kids Body Function Iron Levels & Anemia","3,450",4.2,21.99,https://www.amazon.com/Vitamin-Friends-Kids-Iron-Gummies/dp/B005CC3X2I/ref=sr_1_62?keywords=multivitamin+for+kids&qid=1660952871&sr=8-62
74,"Good Day Chocolate Complete Multivitamin for Kids, Daily Supplement of Vitamins A, B6, B12, C, D, E, Folate and Biotin, 2g of Sugar, Fair Trade and Non-GMO Milk Chocolate, 80 Pieces",392,4.5,25.99,https://www.amazon.com/Good-Day-Chocolate-Multivitamin-Supplement/dp/B08YK4MNXZ/ref=sr_1_63?keywords=multivitamin+for+kids&qid=1660952871&sr=8-63
75,"Sundown Kids Disney Princess Multivitamin Gummies, Vitamins A, C, D, E, Gluten-Free, Dairy-Free, Peanut-Free, 180 Count","5,332",4.8,14.99,https://www.amazon.com/Sundown-Naturals-Kids-Princess-Multivitamin/dp/B06W9FYJJB/ref=sr_1_64_mod_primary_new?keywords=multivitamin+for+kids&qid=1660952871&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=8-64
76,"Rainbow Light Nutri Stars Multivitamins for Kids Provides Brain and Nervous System Support with B Vitamins and Iron*, Pineapple Orange, 120 Chewable Tablets (Package May Vary)","1,238",4.4,21.69,https://www.amazon.com/Rainbow-Light-Nutristars%C2%AE-Multivitamin-Nutrition/dp/B000EE9Y22/ref=sr_1_65?keywords=multivitamin+for+kids&qid=1660952871&sr=8-65
77,"Flintstones Chewable Kids Vitamins with Iron, Multivitamin for Kids & Toddlers with Vitamin D, Vitamin C & more, 60ct","12,874",4.7,6.44,https://www.amazon.com/Flintstones-Chewable-Multivitamins-Iron-Count/dp/B000GG6CZA/ref=sr_1_66?keywords=multivitamin+for+kids&qid=1660952871&rdc=1&sr=8-66
78,"New Chapter Kids Multivitamin Gummies - 50% Less Sugar, Kids Gummy Vitamins with Vitamins C, D3 & Zinc, Non-GMO, Gluten Free, Berry-Citrus, 60ct",121,4.3,19.97,https://www.amazon.com/New-Chapter-Kids-Multivitamin-Gummies/dp/B09F82RP62/ref=sr_1_67?keywords=multivitamin+for+kids&qid=1660952871&rdc=1&sr=8-67
79,Gummy Vitamins for Kids Immune Support - Natural Children's Vitamins Supplements for Toddler and Kids Health - Kids Vitamins Gummy Multivitamin and Natural Energy Supplement with B Complex Vitamins,"2,754",4.7,12.77,https://www.amazon.com/Gummy-Vitamins-Kids-Immune-Support/dp/B07ZL28GWV/ref=sr_1_68?keywords=multivitamin+for+kids&qid=1660952871&sr=8-68
80,"SmartyPants Teen Girl Formula, Daily Multivitamin Gummies: Vitamins C, B12, K, Zinc, & Biotin for Immune Support, Energy, Skin & Hair Support, Assorted Fruit Flavor, 120 Gummies (30 Day Supply)","11,302",4.5,15.96,https://www.amazon.com/SmartyPants-Formula-Daily-Multivitamin-Gummies/dp/B0741FMYS1/ref=sr_1_69?keywords=multivitamin+for+kids&qid=1660952871&sr=8-69
81,"One A Day Teen for Her Multivitamin Gummies Supplement with Vitamins A, C, E, B3, B6, B12, Calcium, and Vitamin D, 150 Count",688,4.7,14.97,https://www.amazon.com/Multivitamin-Gummies-Supplement-Vitamins-Calcium/dp/B09KF99MT1/ref=sr_1_70?keywords=multivitamin+for+kids&qid=1660952871&rdc=1&sr=8-70
82,"Culturelle Kids Probiotic Plus Complete Multivitamin Chewable, Promotes Immune, Digestive & Oral Health, With 11 Vitamins & Minerals including Vitamins C, D & Zinc, Fruit Punch Flavor, 30 Count","1,327",4.7,18.27,https://www.amazon.com/Culturelle-Probiotic-Multivitamin-Digestive-Antioxidant/dp/B07PHVLPL9/ref=sr_1_71?keywords=multivitamin+for+kids&qid=1660952871&sr=8-71
83,"MegaFood Kids Multi Gummy for Ages 4+ - Multivitamin with C, D, Zinc & More for Immune & Brain Support - Gluten-Free, Non-GMO - Berrylicious Flavor - 60 Gummies (30 Servings)",112,4.3,none,https://www.amazon.com/MegaFood-Kids-Multi-Gummy-Ages/dp/B094Q35LKZ/ref=sr_1_72?keywords=multivitamin+for+kids&qid=1660952871&sr=8-72
84,Amanah Children’s Multivitamin Gummy - 120 Count - Halal Vitamins - 2 Month Supply,626,4.7,16.99,https://www.amazon.com/AMANAH-VITAMINS-Childrens-Multivitamin-Gummies/dp/B01M66AXVK/ref=sr_1_73?keywords=multivitamin+for+kids&qid=1660952871&sr=8-73
85,"Centrum Chewable Multivitamin for Kids, Multivitamin/Multimineral Supplement with Antioxidants and Vitamins C and E, Cherry/Orange/Fruit Punch Flavor - 80 Count","12,059",4.5,11.25,https://www.amazon.com/Centrum-Chewables-Multivitamin-Multimineral-Supplement/dp/B003G4BPG0/ref=sr_1_74_mod_primary_new?keywords=multivitamin+for+kids&qid=1660952871&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=8-74
86,"SmartyPants Toddler Formula Daily Gummy Multivitamin: Vitamin C, D3, & Zinc for Immunity, Gluten Free, Omega 3 Fish Oil (DHA/EPA) , Vitamin B6, B12, 90 Count (30 Day Supply)","13,450",4.4,14.39,https://www.amazon.com/SmartyPants-Toddler-Gummy-Vitamins-Complete/dp/B07B6KC1PQ/ref=sr_1_75?keywords=multivitamin+for+kids&qid=1660952871&sr=8-75
87,"Great Tasting Chewable Kids Vitamins - Multivitamin for Kids with All-Natural Colors, Flavors, and Sweeteners Includes Free Kids Vitamin PDF",210,4.2,22.99,https://www.amazon.com/Great-Tasting-Chewable-Kids-Vitamins/dp/B07H5MKCT7/ref=sr_1_76?keywords=multivitamin+for+kids&qid=1660952871&sr=8-76
88,"L'il Critters Kids Calcium Gummy Bears with Vitamin D3 , 150ct","6,516",4.7,12.77,https://www.amazon.com/Lil-Critters-Calcium-Vitamin-Supplement/dp/B00421MNIU/ref=sr_1_77?keywords=multivitamin+for+kids&qid=1660952871&sr=8-77
89,"Nature's Bounty Kids Multi Jelly Beans, Supports Healthy Growth and Development, Raspberry Orange Twist Flavor, 120 Count",249,4.6,13.28,https://www.amazon.com/Natures-Bounty-Supports-Development-Raspberry/dp/B09FNC4K12/ref=sr_1_78?keywords=multivitamin+for+kids&qid=1660952871&rdc=1&sr=8-78
90,"Chapter One Multivitamin Gummies, Multi for Kids with Vitamin C, Vitamin D3, Zinc and More, Kosher, 60 Flavored Gummies","1,115",4.7,14.95,https://www.amazon.com/Chapter-Multivitamin-Gummies-Certified-Flavored/dp/B07M6HVVDX/ref=sr_1_79?keywords=multivitamin+for+kids&qid=1660952871&sr=8-79
91,"Kids Vitamins. Unflavored & Tasteless Liquid Kids Multivitamin. Sugar Free 14-in-1 Vegan Supplement Drops for Kids, Children, Teens. Mix in Juice, Milk, Or Water and Your Kids Won't Even Taste It!",6,3.5,15.95,https://www.amazon.com/Vitamins-Unflavored-Tasteless-Multivitamin-Supplement/dp/B0B15PCP4W/ref=sr_1_80?keywords=multivitamin+for+kids&qid=1660952871&sr=8-80
92,"Flintstones Chewable Kids Vitamins, Complete Multivitamin for Kids and Toddlers with Iron, Calcium, Vitamin C, Vitamin D & more, 180ct","14,079",4.6,16.79,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A00861213HIWZUWPAC5M9&url=%2FFlintstones-Vitamins-Childrens-Multivitamin-Supplement%2Fdp%2FB0771WL4SD%2Fref%3Dsr_1_81_sspa%3Fkeywords%3Dmultivitamin%2Bfor%2Bkids%26qid%3D1660952871%26rdc%3D1%26sr%3D8-81-spons%26psc%3D1&qualifier=1660952871&id=2274841925263096&widgetName=sp_mtf
93,"SmartyPants Teen Guy Formula, Daily Multivitamin Gummies: Vitamins C, B12, K, Zinc, & Biotin for Immune Support, Energy, Skin & Hair Support, Assorted Fruit Flavor, 120 Gummies (30 Day Supply)","11,302",4.5,16.37,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A0161561UVUQ4JE7AWYY&url=%2FSmartyPants-Complete-Daily-Gummy-Vitamins%2Fdp%2FB0741FTPXD%2Fref%3Dsr_1_82_sspa%3Fkeywords%3Dmultivitamin%2Bfor%2Bkids%26qid%3D1660952871%26sr%3D8-82-spons%26psc%3D1&qualifier=1660952871&id=2274841925263096&widgetName=sp_mtf
94,"Kids Vitamins. Unflavored & Tasteless Liquid Kids Multivitamin. Sugar Free 14-in-1 Vegan Supplement Drops for Kids, Children, Teens. Mix in Juice, Milk, Or Water and Your Kids Won't Even Taste It!",6,3.5,15.95,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A00712147ULTKR3WFA5D&url=%2FVitamins-Unflavored-Tasteless-Multivitamin-Supplement%2Fdp%2FB0B15PCP4W%2Fref%3Dsr_1_83_sspa%3Fkeywords%3Dmultivitamin%2Bfor%2Bkids%26qid%3D1660952871%26sr%3D8-83-spons%26psc%3D1&qualifier=1660952871&id=2274841925263096&widgetName=sp_mtf
95,"L'il Critters Kids Fiber Gummy Bears Supplement, 90 Count","7,085",4.7,10.99,https://www.amazon.com/Lil-Critters-Fiber-Gummy-Bears/dp/B009VGEHFS/ref=sr_1_84?keywords=multivitamin+for+kids&qid=1660952871&sr=8-84
96,Kids Multivitamin Gummies & Kids Probiotic USDA Organic Gummies Bundle by MaryRuth's | Kids Immune Support | Kids Digestive & Gut Health Supplement,117,4.9,43.11,https://www.amazon.com/Multivitamin-Probiotic-MaryRuths-Digestive-Supplement/dp/B09NDSPD3W/ref=sr_1_85?keywords=multivitamin+for+kids&qid=1660952871&sr=8-85
97,"NovaFerrum MMM | Multivitamin for Infants, Toddlers & Kids | Vitamin C, D3, E | Gluten Free Certified | Sugar Free | Ages 4 & Under | Orange Flavored | 2 Fl Oz (50 mL)",718,4.5,17.99,https://www.amazon.com/NovaFerrum-Multivitamin-Sweeteners-Sugar-Free-Gluten-Free/dp/B01BAC1HMQ/ref=sr_1_86?keywords=multivitamin+for+kids&qid=1660952871&sr=8-86
98,"Dr. Mercola Chewable Multivitamin for Kids Dietary Supplement, 30 Servings (60 Tablets), Supports Overall Health, Non GMO, Soy Free, Gluten Free, 0g Sugar",228,4.4,16.97,https://www.amazon.com/Dr-Mercola-Chewable-Multi-Vitamin-Ounce/dp/B073Q51H52/ref=sr_1_87?keywords=multivitamin+for+kids&qid=1660952871&sr=8-87
99,"Kids Multivitamin Gummy - Natural Daily Chewable Gummies Supplement - Complete Multi with Vitamin A, C, E, D3, B6, B12, Zinc, Minerals - Immune Support Vitamins for Children, GMO Free - 60 Count",58,4.5,7.42,https://www.amazon.com/Kids-Multivitamin-Gummies-Immune-Support/dp/B09DLW2XX4/ref=sr_1_88?keywords=multivitamin+for+kids&qid=1660952871&sr=8-88
100,Vitamin D3 | Vitamin K2 | Vitamin D3 K2 Spray | K2 D3 Vitamin Liquid Supplement for Adults & Kids | Supplement for Calcium Absorption Strong Bones | Vegan | Non-GMO | Gluten Free | 1 Fl Oz,"2,215",4.6,27.93,https://www.amazon.com/Vitamin-Supplement-Calcium-Absorption-Non-GMO/dp/B07DNK1568/ref=sr_1_89?keywords=multivitamin+for+kids&qid=1660952871&sr=8-89
101,"Nature’s Bounty Disney Princess Kids Gummy Multivitamin, Natural Grape, Orange & Cherry Flavored, No Gluten, Dairy, or Peanuts, 180 Gummies",24,4.6,9.99,https://www.amazon.com/Natures-Bounty-Princess-Multivitamin-Flavored/dp/B09SKFBHR6/ref=sr_1_90?keywords=multivitamin+for+kids&qid=1660952871&sr=8-90
102,Kids Vitamins by MaryRuth's | Sugar Free | 2 Month Supply | Kids Multivitamin Gummies with Organic Ingredients | Multivitamin for Kids | Vitamins for Kids | Vegan | Non-GMO | 60 Count | 2 Pack,0,0,49.95,https://www.amazon.com/Vitamins-MaryRuths-Multivitamin-Gummies-Ingredients/dp/B0B784R5HG/ref=sr_1_91?keywords=multivitamin+for+kids&qid=1660952871&sr=8-91
103,"Vegetarian Kids Multivitamin Gummies by Feel Great Vitamin Co. | Plant Based Fruit Pectin Vitamins for Kids | Supports Growth of Bones & Muscles, Supports The Immune System with Zinc. | 45 Day Supply",578,4.6,21.97,https://www.amazon.com/Multivitamin-Feel-Great-365-Multivitamins/dp/B07NBHG1TZ/ref=sr_1_92?keywords=multivitamin+for+kids&qid=1660952871&sr=8-92
104,Olly Kids Multivitamin Gummy! 70 Gummies Sour Fruity Punch Flavor! Blend of Daily Vitamins and Minerals! Help Fill Any Nutritional Gaps and Promote Overall Wellness! Choose Your Pack! (2 Pack),127,4.6,38.45,https://www.amazon.com/Olly-Multivitamin-Gummy-Vitamins-Nutritional/dp/B081TVNXFT/ref=sr_1_93?keywords=multivitamin+for+kids&qid=1660952871&sr=8-93
105,"Flintstones Gummies Complete Children's Multivitamin, 250 ct.","1,050",4.8,25.84,https://www.amazon.com/Flintstones-Gummies-Complete-Childrens-Multivitamin/dp/B071DVPP74/ref=sr_1_94?keywords=multivitamin+for+kids&qid=1660952871&sr=8-94
106,"OLLY Kids Multivitamin and Probiotic Gummy Supplement, with Zinc & PROBIOTICS; Yum Berry Punch; Multi +Probiotic",729,4.8,none,https://www.amazon.com/Multivitamin-Probiotic-Supplement-PROBIOTICS-Supply/dp/B07MVN4PVX/ref=sr_1_95?keywords=multivitamin+for+kids&qid=1660952871&sr=8-95
107,"Zarbee's Elderberry Gummies For Kids With Vitamin C, Zinc & Elderberry, Daily Childrens Immune Support Vitamins Gummy For Children Ages 2 And Up, Natural Berry Flavor, 42 Count","19,507",4.8,15.28,https://www.amazon.com/Zarbees-Naturals-Childrens-Elderberry-Support/dp/B00Q5OW97M/ref=sr_1_96?keywords=multivitamin+for+kids&qid=1660952871&rdc=1&sr=8-96
108,"ChildLife Essentials Multi Vitamin SoftMelts - for Infants, Babies, Kids, Toddlers, Children, and Teenagers - Natural Orange Flavor - 27 Tablets",166,4.4,15.49,https://www.amazon.com/ChildLife-Essentials-Vitamin-SoftMelts-Artificial/dp/B08628BD4C/ref=sr_1_97?keywords=multivitamin+for+kids&qid=1660952871&sr=8-97
109,"YumVs MultiVitamins Chewables for Kids, Milk Chocolate (60 Ct); Daily Dietary Supplement w/Essential Vitamins & Minerals – Vitamin D, B12, B6, E, C, A, Zinc, Magnesium, Kosher, Halal, Gluten Free",853,4.5,14.95,https://www.amazon.com/MultiVitamins-Chewables-Chocolate-Supplement-Essential/dp/B008GTJXSC/ref=sr_1_98?keywords=multivitamin+for+kids&qid=1660952871&sr=8-98
110,"Bluebonnet Nutrition Rainforest Animalz Whole Food Based Multiple Chewable Tablet, Kids Multivitamin & Mineral, Vitamin C, D3, Iron, Gluten Free, Milk Free, Kosher, 180 Chewable Tablets, Mixed Flavor",448,4.5,28.76,https://www.amazon.com/Super-Earth-Rainforest-Animalz-Multiple/dp/B004WP2MJ6/ref=sr_1_99?keywords=multivitamin+for+kids&qid=1660952871&sr=8-99
111,"NaturesPlus Animal Parade Source of Life Children's Liquid Multivitamin - Tropical Berry Flavor - 30 fl oz - Whole Food Supplement - Vegetarian, Gluten-Free - 60 Servings",601,4.5,23.51,https://www.amazon.com/NaturesPlus-Animal-Parade-Childrens-Multivitamin/dp/B0007WLV04/ref=sr_1_100?keywords=multivitamin+for+kids&qid=1660952871&sr=8-100
112,"Goli Kids Multivitamin Gummy - 80 Count - All 13 Essential Vitamins & Key Minerals - Kosher, Gluten-Free, Vegan, and Non-GMO.",0,0,18.98,https://www.amazon.com/Goli-Kids-Multivitamin-Gummy-Gluten-Free/dp/B0B83RYKNN/ref=sr_1_101?keywords=multivitamin+for+kids&qid=1660952871&sr=8-101
113,"USDA Organic Kids Vitamin Gummies by OrganicBolt | 30-60 Days Supply | Vegan, Gluten-Free, Non-GMO | Kids Multivitamin Gummies to Support Brain & Body Development, Immune System & Overall Health",95,4.4,22.99,https://www.amazon.com/Organic-OrganicBolt-Gluten-Free-Multivitamin-Development/dp/B097XJBLC1/ref=sr_1_102?keywords=multivitamin+for+kids&qid=1660952871&sr=8-102
114,"Multivitamin for Kids Vitamin Supplements – 31 Vegan Minerals & Multi Vitamins for Kids | 20 Fruit & Veggie Extracts, No Sugar, Chemicals, Gluten, Artificial Flavor | Daily Childrens Vitamins 16oz",95,4.0,23.90,https://www.amazon.com/GreenPeach-Advanced-Multiple-Vitamin-Flavor/dp/B0791CDWLR/ref=sr_1_103?keywords=multivitamin+for+kids&qid=1660952871&sr=8-103
115,"L'il Critters Kids Calcium Gummy Bears with Vitamin D3 , 150ct","6,516",4.7,12.77,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg2_1?ie=UTF8&adId=A10019561J69DCEIDAG5X&url=%2FLil-Critters-Calcium-Vitamin-Supplement%2Fdp%2FB00421MNIU%2Fref%3Dsr_1_104_sspa%3Fkeywords%3Dmultivitamin%2Bfor%2Bkids%26qid%3D1660952871%26sr%3D8-104-spons%26psc%3D1&qualifier=1660952871&id=2274841925263096&widgetName=sp_btf
116,Kids Vitamins by MaryRuth's | Sugar Free | 2 Month Supply | Kids Multivitamin Gummies with Organic Ingredients | Multivitamin for Kids | Vitamins for Kids | Vegan | Non-GMO | Gluten Free | 60 Count,"8,316",4.7,29.95,https://www.amazon.com/gp/bestsellers/hpc/16225031/ref=sr_bs_56_16225031_1
117,"Flintstones SuperBeans, Kids Multivitamin with Immunity Support with Vitamins A, D, Iodine & Zinc to Support Healthy Growth, Fruit Flavored, Vegetarian, Jelly Bean Chews, 90 Count (Packaging may vary)","1,338",4.6,9.97,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg2_1?ie=UTF8&adId=A0712964AETOE1VY43XW&url=%2FFlintstones-SuperBeans-Multivitamin-Vitamins-Development%2Fdp%2FB08X8FSL6C%2Fref%3Dsr_1_106_sspa%3Fkeywords%3Dmultivitamin%2Bfor%2Bkids%26qid%3D1660952871%26rdc%3D1%26sr%3D8-106-spons%26psc%3D1&qualifier=1660952871&id=2274841925263096&widgetName=sp_btf
118,"OLLY Kids Multivitamin Gummy Worms, Overall Health and Immune Support, Vitamins and Minerals A, C, D, E, Bs and Zinc, Kids Chewable Supplement, Sour Fruit Punch, 45 Day Supply - 70 Count","20,431",4.7,12.88,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg2_1?ie=UTF8&adId=A04220001UU6NDK55IC8C&url=%2FMultivitamin-Essential-Vitamins-Minerals-Fruity%2Fdp%2FB087GKQHGP%2Fref%3Dsr_1_107_sspa%3Fkeywords%3Dmultivitamin%2Bfor%2Bkids%26qid%3D1660952871%26sr%3D8-107-spons%26psc%3D1&qualifier=1660952871&id=2274841925263096&widgetName=sp_btf
119,"Culturelle Kids Complete Multivitamin + Probiotic Chewable, Digestive & Immune Support for Kids, With 11 Vitamins & Minerals including Vitamin C, D3 and Zinc, Fruit Punch Flavor, 50 Count","3,758",4.8,15.73,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg2_1?ie=UTF8&adId=A0972207106YAUKVOJUGS&url=%2FCulturelle-Multivitamin-Probiotic-Supplement-probiotic%25E2%258C%2598%2Fdp%2FB07N7ZM39Z%2Fref%3Dice_ac_b_dpb_sspa%3Fkeywords%3Dmultivitamin%2Bfor%2Bkids%26qid%3D1660952871%26sr%3D8-108-spons%26psc%3D1&qualifier=1660952871&id=2274841925263096&widgetName=sp_btf
120,"Centrum Kids Multivitamin Gummies, Tropical Punch Flavor Made with Natural Flavors, 110 Count, 110 Day Supply",353,4.8,10.47,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg3_1?ie=UTF8&adId=A00169183KVV49W94TP6S&url=%2FCentrum-Multivitamin-Gummies-Tropical-Natural%2Fdp%2FB09WYRNPLJ%2Fref%3Dsr_1_97_sspa%3Fkeywords%3Dmultivitamin%2Bfor%2Bkids%26qid%3D1660952888%26sr%3D8-97-spons%26psc%3D1&qualifier=1660952888&id=2908298790410877&widgetName=sp_atf_next
121,MaryRuth's L Theanine 200mg Liquid Drops | L-Theanine + Organic Glycerin | Stress Relief for Adults & Kids | Focus Supplement | Natural Sleep Support | Vegan | Non-GMO | Gluten Free | 30 Servings,55,4.6,24.95,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg3_1?ie=UTF8&adId=A0642201LOT1OKYZY97G&url=%2FMaryRuths-Theanine-L-Theanine-Glycerin-Supplement%2Fdp%2FB09YKGM7N5%2Fref%3Dsr_1_98_sspa%3Fkeywords%3Dmultivitamin%2Bfor%2Bkids%26qid%3D1660952888%26sr%3D8-98-spons%26psc%3D1%26smid%3DA3V1QNHQ2M2TBN&qualifier=1660952888&id=2908298790410877&widgetName=sp_atf_next
122,"Premium Liquid Multivitamin For Kids | Sugar Free Kids Vitamins | 100% DV of 14 Vitamins for Kids | Multivitamin for Children Ages 4+ | Great Tasting, Non-GMO, Max 98% Absorption Rate- 16 oz, 32 Serv","3,465",4.6,32.77,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg3_1?ie=UTF8&adId=A068492029XX2TXT768H2&url=%2FMultivitamin-Superfood-Vitamins-Multi-Vitamin-Children%2Fdp%2FB01ATYIEV8%2Fref%3Dsr_1_99_sspa%3Fkeywords%3Dmultivitamin%2Bfor%2Bkids%26qid%3D1660952888%26sr%3D8-99-spons%26psc%3D1%26smid%3DA1FGZPZGA6G2M5&qualifier=1660952888&id=2908298790410877&widgetName=sp_atf_next
123,"L'il Critters Kids Calcium Gummy Bears with Vitamin D3 , 150ct","6,516",4.7,12.77,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg3_1?ie=UTF8&adId=A10019561J69DCEIDAG5X&url=%2FLil-Critters-Calcium-Vitamin-Supplement%2Fdp%2FB00421MNIU%2Fref%3Dsr_1_100_sspa%3Fkeywords%3Dmultivitamin%2Bfor%2Bkids%26qid%3D1660952888%26sr%3D8-100-spons%26psc%3D1&qualifier=1660952888&id=2908298790410877&widgetName=sp_atf_next
124,"Solaray Childrens Vitamins & Minerals | Complete Multivitamin for Kids | Great Black Cherry Flavor (120 Chews, 60 Serv)",840,4.5,10.99,https://www.amazon.com/Solaray-Childrens-Chewable-Vitamins-Minerals/dp/B00020I11S/ref=sr_1_101?keywords=multivitamin+for+kids&qid=1660952888&sr=8-101
